CA_sim, CA_exact
10.0,10.0
9.92028,9.920430448989988
9.841420976,9.841715625295445
9.7634136294592,9.763846347530095
9.686248762261041,9.686813532933096
9.609917275628622,9.610608196309618
9.534410169051833,9.535221448982798
9.459718539226074,9.46064449775696
9.385833579002433,9.38686864389196
9.312746576349207,9.313885282088565
9.240448913324636,9.241685899484702
9.16893206506073,9.170262074662537
9.098187598758074,9.099605476666158
9.028207172691486,9.029707864029874
8.958982535226419,8.960561083816899
8.890505523845974,8.892157070668393
8.822768064188438,8.824487845862711
8.755762169095203,8.757545516384752
8.689479937668974,8.69132227400531
8.623913554342149,8.625810394370315
8.559055287955253,8.56100223609985
8.494897490845336,8.496890239896858
8.431432597944205,8.433466927665418
8.368653125886407,8.370724901638484
8.306551672126833,8.308656843515008
8.245120914067863,8.24725551360632
8.184353608195929,8.186513749991684
8.124242589227412,8.12642446768293
8.064780769263756,8.066980657798041
8.005961136955706,8.008175386743643
7.947776756676585,7.95000179540624
7.890220767704478,7.892453098352192
7.833286383413269,7.835522583036227
7.776966890472406,7.779203609018496
7.721255648055304,7.7234896071900145
7.6661460870563065,7.668374079006446
7.611631709316098,7.613850595730096
7.557706086855484,7.5599127976800595
7.504362861117445,7.50655439349042
7.451595742217377,7.4537691593764155
7.399398508201428,7.401550938408499
7.347765004312852,7.34989363979417
7.296689142266273,7.2987912381675555
7.246164899529798,7.248237772886591
7.196186318614876,7.198227347337771
7.146747506373836,7.14875412824836
7.097842633304999,7.099812345005994
7.049465932865305,7.05139628898559
7.0016117007903595,7.00350031288348
6.954274294421824,6.95611883005871
6.9074481320420675,6.909246313881404
6.861127692216013,6.8628772970881355
6.81530751314008,6.817006371144214
6.769982191998167,6.771628185612832
6.725146384324587,6.726737447530981
6.680794803373882,6.682328920792079
6.6369222194974435,6.638397425535215
6.593523459526871,6.594937837540977
6.550593406163981,6.551945087633752
6.50812699737741,6.509414161090442
6.466119225805733,6.467340097055562
6.424565138167031,6.425717987962577
6.383459834674827,6.384542978961497
6.342798468460339,6.343810267352588
6.302576245000967,6.303515102026188
6.262788421554957,6.263652782908529
6.223430306602164,6.2242186604135155
6.18449725929086,6.185208134900391
6.145984688890519,6.146616656137232
6.107888054250502,6.108439722770203
6.070202863264596,6.0706728817985125
6.032924672341338,6.033311728055013
5.996049085880052,5.9963519036923705
5.959571755752547,5.959789097674772
5.9234883807904195,5.923619045275068
5.887794706277884,5.887837527577342
5.852486523450082,5.852440370984801
5.817559668996822,5.817423446732965
5.783010024571657,5.782782670408095
5.7488335163062825,5.748514001470765
5.715026114330175,5.714613442784574
5.681583832295408,5.681077040149928
5.648502726906618,5.6479008818428
5.6157788974560265,5.61508109815847
5.583408485363502,5.582613860960162
5.5513876737215755,5.550495383232519
5.5197126868453825,5.518721918639882
5.4883797898274524,5.487289761089321
5.457385288097316,5.456195244298344
5.426725526985865,5.4254347413672575
5.396396891294418,5.395004664356124
5.366395804868438,5.364901463866262
5.33671873017586,5.335121628626239
5.307362167889961,5.305661685082308
5.27832265647675,5.276518196993254
5.2495967717868,5.247687765029584
5.221181126651502,5.219167026377029
5.193072370483666,5.190952654344297
5.165267188882442,5.163041357975047
5.1377623032425115,5.135429881664023
5.110554470367493,5.108115004777327
5.0836404820875245,5.08109354127675
5.057017164880979,5.0543623393481525
5.0306813795002645,5.027918281033838
5.004630020601661,5.001758281868859
4.978860016379163,4.975879290521261
4.953368328202268,4.950278288436146
4.928151950257684,4.924952289483611
4.903207909194901,4.899898339610423
4.878533263775596,4.875113516495463
4.854125104526819,4.8505949292088655
4.829980553397929,4.826339717874809
4.806096763421232,4.8023450533379455
4.782470918376283,4.778608136833401
4.759100232457819,4.755126199660321
4.735981949947274,4.73189650285893
4.7131133448878435,4.70891633689106
4.690491720763054,4.686183021324096
4.668114410178813,4.663693904518337
4.645978774548881,4.641446363317702
4.624082203783754,4.6194378027437635
4.60242211598289,4.597665655693063
4.580995957130274,4.576127382637684
4.559801200793268,4.554820471329038
4.5388353478247,4.533742436504836
4.518095926068193,4.512890819599197
4.497580490066657,4.492263188455884
4.477286620773937,4.471857137044615
4.457211925269578,4.451670285180419
4.437354036476667,4.431700278246006
4.417710612882718,4.411944786917128
4.398279338263585,4.392401506890877
4.379057921410339,4.373068158616914
4.360044095859107,4.3539424870315795
4.341235619623828,4.335022261294853
4.322630274931891,4.316305274530156
4.304225867962627,4.29778934356693
4.28602022858863,4.279472308685998
4.268011210119873,4.261352033367642
4.250196689050578,4.243426404042405
4.232574564808832,4.225693329844563
4.215142759508897,4.2081507423682325
4.197899217706201,4.190796595426123
4.180841906154974,4.17362886481086
4.1639688135685,4.156645548058882
4.147277950381961,4.139844664216866
4.130767348517836,4.123224253610675
4.114435061153843,4.10678237761677
4.098279162493382,4.090517118436096
4.082297747538454,4.074426578870382
4.066488931865039,4.05850888210085
4.050850851400897,4.042762171469301
4.035381662205768,4.027184610261554
4.0200795402539455,4.011774381493211
4.004942681219203,3.996529687697716
3.989969300262035,3.9814487507167002
3.9751576318192052,3.966529811492578
3.960505929395558,3.9517711298633618
3.946012465358086,3.937170984359696
3.9316755307322184,3.9227276720040543
3.9174934350003108,3.90843950811211
3.9034645059023076,3.894304826096228
3.889587089238563,3.8803219772710706
3.875859548674786,3.866489330661299
3.8622802655490984,3.852805272811331
3.8488476386811685,3.8392682075971436
3.835560084183412,3.825876556040102
3.822416035274231,3.8126287561227876
3.8094139420932693,3.799523262606797
3.796552271518662,3.7865585468525094
3.7838295069862604,3.7737330966407794
3.771244148310809,3.761045415996554
